[2022.04.24 08:36:20:918] EVENT, lccccc trigger 10 {thread: 18} [inst: 3709]
[2022.04.24 08:36:20:918] EVENT,disable tunneling 1 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:20:919] EVENT, autovalues aec: 1, aecfast: 1, aecvol: 1, aecnative: 1, aecorig: 1, agc: 3, denoise: 3, plc: true [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:20:957] EVENT, first tick no [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:20:958] EVENT,serveraddrlst32: a (84127):  b:  c:  d:  e:  f:  g:  h:  i:  j:  {thread: 18} [inst: 3709]
[2022.04.24 08:36:20:960] EVENT,JVoIP init finished2 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:20:962] EVENT, conncurrent instances in the same classloader: 1 {thread: 18} [inst: 3709]
[2022.04.24 08:36:20:966] EVENT,JVoIP start 8.6.22014 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:072] EVENT,afterstart event [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:073] EVENT,app version: 8.6.22014 2/8/2022 08:59:28 [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:074] EVENT,branch: 3 JVoIP  [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:074] EVENT,codebase: null [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:074] EVENT,docbase: null [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:074] EVENT,archive:  [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:075] EVENT, startup wpapi a {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:081] EVENT, wpapiconnectport set to g0 19421 19421 [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:081] EVENT, wpapi init listenport: 0 udplistenport: 19422 tlslistenport: 0 forcetls: 0 connectport: 19421 [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:090] EVENT,wpapi udp listen on 19422 [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:091] EVENT, wpapiconnectport get at gx 19421 19421 [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:091] EVENT, wpapiconnectport set to g4 19421 19421 [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:092] EVENT, wpapi started successfully 3 [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:092] EVENT,NOTIFICATION_XRSS,START,api {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:093] EVENT, wpapi init not done yet when trying to send (false/true/true/true/19422/9) msg: WPNOTIFICATION,START,api,NEOL 
 {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:093] EVENT,local ip is 192.168.1.3 {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:093] EVENT, need for stun natcheck because unknown server ip  {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:094] EVENT,NOTIFICATION_XRSS,START,api {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:094] EVENT,set priority to service from MAsyncTask_MATASK_WPAPI_TCPUDP {thread: 27} [inst: 3709]
[2022.04.24 08:36:21:094] EVENT,async task start MATASK_WPAPI_TCPUDP (false/0//) {thread: 27} [inst: 3709]
[2022.04.24 08:36:21:094] EVENT,resending cached notifications len 32 from: -3 code: 1 rec: 0 sent: 1 [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:094] EVENT,resending cached notifications inner 32 [wpapi] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:095] EVENT, api notification sent a 0 0 19422 19421 {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:095] EVENT,afterstart natcheck 2 192.168.1.3   [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:096] EVENT,not autostarting because: no sip server was set [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:096] EVENT,afterstart event finished [wpmain] {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:098] EVENT,NOTIFICATION_XRSS,STATUS,-1,Initialized {thread: 18} [inst: 3709]
[2022.04.24 08:36:21:099] EVENT,udp nat bind to port 16910 (byf: 10) [stun natcheck] {thread: 28} [inst: 3709]
[2022.04.24 08:36:21:103] EVENT,waiting for mediaench to load and init [stun natcheck] {thread: 28} [inst: 3709]
[2022.04.24 08:36:21:103] EVENT,set priority to service from mediaench1 {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:104] EVENT,mediaench thread start [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:104] EVENT,mediaench and aec load from system mediaench2x64 [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:107] EVENT, (warn) ctch on loadlib from local m no mediaench2x64 in java.library.path: C:\Program Files\Java\jdk-18\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python37_64\Scripts\;C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python37_64\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\170\Tools\Binn\;C:\Program Files\Polyspace\R2019b\runtime\win64;C:\Program Files\Polyspace\R2019b\bin;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\runtime\win64;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\bin;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\polyspace\bin;C:\Program Files\Polyspace\R2019b\polyspace\bin;C:\MongoDB\bin;C:\Program Files\Git\cmd;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Users\20102\AppData\Local\Programs\Python\Python36\Scripts\;C:\Users\20102\AppData\Local\Programs\Python\Python36\;C:\Users\20102\AppData\Local\Programs\Python\Python38-32\Scripts\;C:\Users\20102\AppData\Local\Programs\Python\Python38-32\;C:\Users\20102\AppData\Local\Microsoft\WindowsApps;C:\Users\20102\AppData\Local\Programs\Microsoft VS Code\bin;C:\php;C:\Users\20102\.dotnet\tools;C:\Users\20102\AppData\Local\Microsoft\WindowsApps;C:\Program Files\JetBrains\PyCharm Community Edition 2020.3\bin;;C:\Users\20102\AppData\Local\GitHubDesktop\bin;. {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:112] EVENT,mediaench and aec load from system failed. load from local path... [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:113] EVENT,checking exact file path C:\Users\20102\Desktop\ProjectJVOIP\src [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:113] EVENT,mediaench and aec load from local failed. load from web... [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:116] EVENT,mediaench load from web starting... [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:118] EVENT,mediaench load from web checking file cache1 C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\mediaench2x64890.dll [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:118] EVENT,mediaench load from web checking file cache2 C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\mediaench2x64.dll [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:119] EVENT,mediaench load from web 3 [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:119] EVENT,mediaench load from web4  C:\Users\20102\Desktop\ProjectJVOIP\src (mediaench2x64.dll) [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:119] EVENT,mediaench load from web5 http://www.webvoipphone.com/publicfiles/mediaench2x64.dll [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:334] EVENT,mediaench download from http://www.webvoipphone.com/publicfiles/mediaench2x64.dll [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:335] EVENT,mediaench load from web62 [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:756] EVENT,mediaench load from web7 from C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\mediaench2x64.dll to C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\mediaench2x64890.dll [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:759] EVENT,mediaench load from web8 [mediaench 0] {thread: 29} [inst: 3709]
[2022.04.24 08:36:21:762] EVENT,mediaench loaded5 from C:\Users\20102\Desktop\ProjectJVOIP\src\mwphonedata\mediaench2x64890.dll [mediaench 0] {thread: 29} [inst: 3709]
